"5uM_10h"	"5uM_10h.1"	"5uM_10h.2"	"5uM_10h.3"	"5uM_10h.4"	"5uM_10h.5"	"10uM_10h"	"10uM_10h.1"	"10uM_10h.2"	"10uM_10h.3"	"10uM_10h.4"	"10uM_10h.5"	"UT_24h"	"UT_24h.1"	"UT_24h.2"	"UT_24h.3"	"UT_24h.4"	"UT_24h.5"	"5uM_24h"	"5uM_24h.1"	"5uM_24h.2"	"5uM_24h.3"	"5uM_24h.4"	"5uM_24h.5"	"10uM_24h"	"10uM_24h.1"	"10uM_24h.2"	"10uM_24h.3"	"10uM_24h.4"	"10uM_24h.5"	"UT_48h"	"UT_48h.1"	"UT_48h.2"	"UT_48h.3"	"UT_48h.4"	"UT_48h.5"	"Veh_48h"	"Veh_48h.1"	"Veh_48h.2"	"Veh_48h.3"	"Veh_48h.4"	"Veh_48h.5"	"5uM_48h"	"5uM_48h.1"	"5uM_48h.2"	"5uM_48h.3"	"5uM_48h.4"	"5uM_48h.5"	"Veh_72h"	"Veh_72h.1"	"Veh_72h.2"	"Veh_72h.3"	"Veh_72h.4"	"Veh_72h.5"
"asparagine"	23288018	33079868	37774348	22231920	29656676	30698160	36694468	35646572	36380504	31064560	36010288	25681424	40168772	41536184	33044188	52177784	38772424	48642428	36954304	26267668	31971088	26246322	23626864	28391300	37076900	22023356	39252376	31320748	30202564	41397760	36027164	36820824	62096692	18459928	46390440	66127812	42780068	46506216	39220272	29183470	52306892	56667400	43750368	38512936	41366044	42709776	36572072	38151224	67170872	42099348	88421800	73170712	61610264	98327808
"aspartate"	28064566	50019284	37726008	22364260	28999268	28108468	40959008	39949212	35630336	32411788	26337216	20302124	71437120	73922968	38679984	68034272	59513948	67382520	45744120	35808412	36363712	35675632	23238642	28121496	41279348	24167440	40717636	34511016	28343672	35330080	33953176	34068456	67091032	15086570	42816468	58767468	50714516	52961332	39047808	29017036	49679440	46594688	38405604	33628592	31727692	35775304	29148732	23664628	64773948	34710904	64256720	57427824	45226516	55508088
"behenoyl sphingomyelin (d18:1/22:0)*"	918015	535241	613143	1268067	882622	1121421	1134074	423653	407501	1007070	643243	1217989	636208	886327	654405	1155439	501556	620853	659738	735324	623079	973905	701955	793782	404913	962192	387173	572925	1193731	1401085	1039293	1703354	660051	244032	1058938	1369506	949074	1089960	919563	844950	629386	1674820	792221	1039900	454206	835397	532328	1112240	1059768	1015638	1060310	1674464	1521565	1491702
"benzoate"	8403172	13178701	7890888	14583845	20983010	7432036	8772488	18282734	6958352	8144323	12559319	8929923	7313250	11670378	9027138	11294696	12663327	9810423	7139213	12881422	10441419	7218647	13150218	14076079	8973391	12887402	10803896	7596934	21694552	8745510	9324877	17631256	13827067	1319090	15166755	12997031	7864471	12585854	11194802	4464554	14652939	12418863	7345933	11926959	9946338	6145504	11057618	11694413	8790710	28203732	15278228	18407592	25871146	14140036
"beta-guanidinopropanoate"	822617	901240	969643	838260	629267	694875	1052682	981368	806955	790196	720341	899348	1320658	1532840	1436482	1366800	853025	1534923	1139475	1066130	718732	895162	1059087	875911	1247516	1079479	1077759	720665	1120007	1314576	1852404	1810423	2182279	293136	2107376	2012371	1360081	1788753	2091800	853835	1534365	NA	1019777	1057014	942739	1164202	1043720	751823	2414450	1827876	3229219	2883097	3472396	3015864
"betaine"	13925570	15895973	17970600	11433739	14544196	15656497	15587579	18231676	16819996	11530336	NA	11393361	21406788	20341820	8820340	21960506	19436472	23457160	19143776	NA	16034166	15658196	15130022	13940016	21584170	14970973	19814182	15110122	NA	18018644	27044706	23307908	40384368	7202240	24782412	30061396	24178256	25323888	24632342	16569979	30568508	26377528	26185718	23898832	19316450	24426480	23478464	19980432	38274136	21170896	52687644	47208968	37576720	48208440
"biotin"	429941	570096	722438	367008	344818	394236	531030	661518	655928	471063	602630	514236	891876	1354326	690774	1343668	591242	1339760	1091027	822071	567750	817736	574613	554359	1546298	911340	1164716	749666	853230	1429718	937869	1170912	2176649	208705	1258181	1331370	1165898	1844988	946772	494481	970865	921735	1175937	924787	826612	1342921	788330	713498	1136791	706867	1859929	1140717	1073414	1726107
"butyrylcarnitine"	2492614	2693651	2620267	2242823	2436628	2284392	3064326	2698691	2919513	2093960	2529012	2753663	3748786	4232905	4094355	4051466	3171773	4419962	3230801	2821622	2689497	2106452	2846616	2994104	4053006	3555205	3476030	2831501	2901044	3711699	8290667	8301718	8255777	1143541	9410236	9684801	5024957	5610883	6766846	2954037	7024164	8042415	3468623	3654766	3159868	2962626	3170010	2393142	10685522	9827304	14705174	13641646	17684476	15756773
"C-glycosyltryptophan"	35095	82926	105798	51572	69133	59044	96246	105944	104012	65958	58813	59468	121826	178033	114137	230206	83167	215945	111385	93927	75899	59746	90214	101145	175499	78422	130835	76013	99800	168585	140003	141669	320930	19758	176788	189935	132082	193839	142581	67031	141573	153127	149739	124760	119400	211922	104188	89765	179575	111256	481683	335107	296880	462788
"cadaverine"	269479	217561	159959	217732	217734	148699	261315	191290	181142	172876	99689	208617	63255	99368	61384	75466	118438	78135	63124	94736	71022	NA	73356	NA	NA	58189	53350	NA	67111	NA	NA	NA	35897	NA	NA	57014	NA	NA	NA	NA	65807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"carboxyethyl-GABA"	334462	819378	701179	431764	538022	533727	652996	826830	677895	551483	528933	381324	834072	963938	436266	655595	572833	790572	663418	642940	462802	385791	389162	521763	868174	436367	624121	460275	589147	815326	543688	476406	749276	58643	307454	616497	480211	618690	403632	199402	388008	486337	734409	560726	459029	635229	468916	434188	570678	264880	633736	414505	473990	685495
"carnitine"	50133892	59751344	68526576	45732252	41476524	40277572	64627816	50353396	61967272	46490824	53524096	49762932	123220584	133398136	95754360	139107808	76559152	136681520	94285792	73723552	62670336	55751660	42071192	68296720	96605336	63126480	80894312	54028156	67889328	86970512	111136824	173836016	219047680	26070038	190803792	178769792	133971568	158518384	173870448	70218384	130562840	136480768	111948896	103663424	67874200	105545192	85290728	66373624	191234400	143601120	248200736	189033856	260141552	255219008
"carnosine"	100051	166057	188851	98501	140034	147805	218526	233013	207391	155358	280417	126458	267997	392170	155383	383987	164471	367348	237144	198487	131609	133638	122164	156523	310663	125547	105439	102033	215841	317075	254085	274764	552004	61225	307552	282862	258496	322838	260700	110750	251124	281053	397896	116303	175176	366225	274504	114712	457520	199577	722398	371153	510730	659782
"cholesterol"	2482475	2344222	4025683	3319946	3073278	4091167	2781773	2352018	2118314	2492920	2607018	3711526	1404341	1966548	2363313	2807335	2138948	2166381	2313159	2619197	2659930	2689010	2755012	3385222	2168579	5637516	2119733	2371640	3567402	4241346	2604169	4851091	2397829	706231	2939827	3899564	2821080	2891890	3975239	1853046	2179842	5721189	2985755	3558453	3060700	3761899	2375702	4562565	3211470	4318288	3415308	3712380	4902964	6429637
"choline"	14096790	16826436	21537144	13769636	13985439	11621192	18247450	22188206	18540956	13006941	21733920	12100391	40635488	44183532	29073012	35616056	34546192	44752464	28906028	20140628	20031254	13097386	17267960	21005258	24901562	20708724	27424944	15121579	20877980	23143272	34391564	44656112	51703688	9127010	47127896	32237094	44120056	42716180	61432132	25641232	38235148	42685764	42941724	42211076	35023772	43521368	32492244	27365610	77291128	55073104	52261176	42178308	68512176	66881608
"choline phosphate"	1166419072	1265307520	1205065472	1179322880	1096046080	1128067712	1191397888	1182007168	1217619072	1123420800	1093816192	1161488000	1792741760	1829042944	1750663168	1890162304	1628348160	1794061824	1693368832	1671396352	1585611520	1529209600	1491563776	1493004288	1645986304	1636905856	1609921536	1408175104	1595303808	1588458368	2048262144	2149345024	2165262848	758420864	2109341312	2227667968	1854290176	1955370496	2192522240	1355858816	1930990336	2132524672	1667426560	1739561600	1681859328	1705560448	1598822528	1514293888	2111882368	1941793536	2334991872	2233821952	2407992320	2277495040
"citrate"	27587510	29787202	25481678	26819140	34224024	31850576	27286744	29783876	25378336	25921258	35018012	34528816	51118324	56551180	50278576	51047588	49144368	54498444	35059288	40208704	38351264	34917612	38026916	37739968	34865616	38949428	31979802	31525716	36623404	38043016	81455720	80426240	76073816	22970146	69986800	74678256	57832148	65122996	70544960	42913032	61443476	68594584	50658288	47328156	45618200	44171976	43572392	43300708	68838360	64702388	79214272	77722872	87898752	84627112
"coenzyme A"	111891	127331	122857	102658	104127	138870	152336	85180	91840	146623	116114	159980	282097	254541	275493	313178	334169	344058	228057	234760	230765	202700	162512	184797	157335	222640	169266	181164	225659	183251	456148	444297	553365	50921	508542	569932	290138	326869	496539	159828	451746	536284	211859	162797	254240	208020	205239	166920	518949	464639	700780	663141	755696	782903
"creatine"	184007488	219078592	213480560	178558848	161979504	174945856	201681664	196935840	217257296	168557584	159554128	154265616	285635520	317158080	269773088	316486816	237808016	338081248	262964640	254179312	NA	169059888	184595232	217567888	273952768	196426080	256016544	183800720	231821472	268292544	259853264	377937952	401948576	108735720	371525152	342110336	298218656	328821536	310442432	203294832	294273472	304534912	260041264	259712704	233697872	279982208	246950576	205515904	397428704	324590336	488186272	355216960	467489632	447817664
"creatine phosphate"	537668	424991	480669	617047	567145	522824	498509	363663	454464	562968	569842	559733	806337	923699	966078	945614	882501	873576	710326	818293	740147	793363	853338	775377	707315	712258	561157	657479	819370	802789	1428470	1412174	1393098	410321	1311644	1565010	924874	893927	1323257	766558	1183779	1351761	743480	697187	759106	714529	693758	790704	1346267	1336776	1752920	2024699	1958753	1970598
"creatinine"	7204777	11425023	13289257	9016747	8861750	10602944	12651005	11149392	12565886	11033783	13514331	6663213	19196872	20118276	13525962	21271636	12238146	20174932	16212495	13832080	15514184	14837721	10446985	13517147	16495236	9165333	15856994	11227403	13692701	17258504	12153111	19090940	27290044	7396167	16460356	24039520	18128976	22438944	13907900	15177892	15253283	17020618	18407282	16817936	13450478	18096748	14871732	16441157	26767530	13782068	35589264	29031226	24124048	36839168
"cysteine"	374923	675505	666434	402371	442784	511551	522453	334331	526719	375039	778422	442937	592631	585459	483001	720771	363346	668008	691206	420795	400601	359579	457374	467490	627908	361224	554024	289452	528593	772804	912176	689527	1118081	215762	1033911	1217431	608880	657007	874260	435084	967416	1095972	638936	674144	452538	625436	686334	579922	1290482	621305	1501502	1023593	1104996	1228397
"cysteinylglycine"	967502	1136294	653427	474969	664350	1055096	620477	NA	NA	454901	568502	951520	2603979	2731321	2944888	2930015	2519716	3657794	1695313	1924839	2033512	1288093	1561015	1767093	1235447	1389785	1307670	906815	1669096	1590283	4096049	4846018	5068843	483397	4648262	6059881	2806980	3413088	4841599	1573829	4153663	4774740	1686918	1442345	2136385	1539638	1909464	1433279	4671111	3939726	7391476	5591040	7122719	6690101
"cytidine"	NA	NA	NA	NA	NA	NA	21240	NA	20473	13313	32437	21734	29844	26944	NA	NA	22716	11639	NA	16261	20734	NA	NA	15694	19772	20740	27974	18916	23040	20927	29539	30493	20985	NA	27832	22926	18497	NA	20195	NA	40751	29766	23799	NA	18859	NA	33499	20345	55086	30354	29634	41276	54256	39227
"cytidine 5'-diphosphocholine"	NA	NA	NA	12036	NA	NA	NA	NA	NA	15007	NA	NA	NA	NA	25686	NA	34454	NA	NA	28416	23595	NA	NA	NA	56856	28504	50736	26808	34335	42739	32199	NA	68204	NA	51172	55100	36911	85275	24577	NA	58143	50717	58457	NA	56002	57729	35297	19807	52907	NA	93705	47991	40426	68540
"cytidine 5'-monophosphate (5'-CMP)"	474393	776843	646084	382377	415571	445407	670805	1152498	675023	460974	415995	460708	1014944	1686022	622857	1475056	710046	1812634	916844	635115	700931	463361	549970	573710	1204277	535252	932346	514463	667464	998123	889555	1076937	2155179	236533	1055359	1182137	1090101	1897238	1116428	531856	1181328	1282460	1608376	971061	832148	1395771	698001	713631	1601566	1025961	2954101	1303884	1454450	2921426
"cytidine 5'-monophospho-N-acetylneuraminic acid"	87441	186747	187055	55249	120950	167594	75268	122965	223927	80418	63833	242561	115491	391108	362492	113583	100763	396218	64495	122456	321405	54454	133872	299864	94862	165344	317785	116015	343254	299673	233477	395072	628029	NA	330968	806466	140686	266908	659051	52999	198786	764614	143079	136946	364713	106981	304105	339307	209457	276795	885320	287952	933251	933726
"cytidine diphosphate"	309458	280092	288455	305722	251984	270098	311585	303149	313529	320358	226178	334620	599681	630383	548715	563465	489138	570860	400672	298806	362985	332031	325550	318342	270125	316380	288792	286192	243827	364241	943586	876648	885926	262204	792587	971146	732467	772964	947877	581223	742137	892406	465653	439753	564601	498750	336927	422289	961336	908946	1048135	1150616	1046671	1121320
"cytidine triphosphate"	975167	909319	645904	855344	742315	627358	814924	677068	631290	773584	1039322	609773	1145856	1239424	963107	1198598	1239432	1182880	829604	922861	707717	1321630	741163	699972	805123	816066	664537	738025	780733	733808	1766990	1859252	1731264	902827	1619240	1800963	1445806	1478123	1833398	1462648	1509586	1774087	1141283	1045986	1015971	1108006	1060548	909168	1779221	1872318	2110566	2311445	2094626	2387793
"deoxycarnitine"	4627075	8399541	7735190	4861555	5628944	5810160	8078128	7811729	7254788	5977476	5277917	3961107	11681047	12826313	7762747	13071218	9195900	13340909	9959159	8520814	7885168	5824419	6171265	6302332	10507813	4723683	8702657	6158752	7654904	10225812	12763953	11984699	19947356	2968016	10291140	17156444	12150398	13533654	10898276	6641506	11549869	14231366	11006440	10328523	8280837	10711588	9630670	8821772	20642206	9597701	28693662	17844050	17279006	26848944
"dihydroxyacetone phosphate (DHAP)"	213988	245857	257189	150632	NA	138443	584161	293556	196863	234928	NA	138966	504814	656352	430993	673530	402113	520131	349687	181179	259124	333519	284410	332686	573165	423691	412484	300191	554761	667713	1373406	1174681	993095	NA	798754	690674	527794	651630	529021	270872	685006	868609	500861	533909	407588	426596	319183	415179	1199026	770934	2170810	1450985	1391872	1751216
"dimethylarginine (SDMA + ADMA)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	104274	198083	NA	345853	267845	211017	267750	NA	NA	NA	NA	NA	NA	203115	NA	203928	224818	144968	131264	507201	520463	622148	NA	605241	753552	277945	386926	327251	NA	537550	521934	NA	355761	NA	NA	164367	67169	694082	628528	1261551	1003394	1174901	960947
"dimethylglycine"	NA	NA	NA	NA	212949	NA	546695	304076	NA	NA	NA	NA	NA	491711	NA	505382	241661	412244	NA	NA	NA	165135	NA	NA	355102	NA	NA	NA	NA	NA	NA	NA	583735	420193	NA	NA	NA	558966	NA	254866	595785	314879	324830	NA	NA	524981	NA	414105	NA	NA	543482	NA	NA	616386
"docosahexaenoate (DHA; 22:6n3)"	498387	754346	878054	596141	705141	731610	593399	683950	735307	781231	534179	679688	816618	1191726	1060504	774367	800604	607267	936036	1161892	1053802	777323	912468	983647	848592	1133975	1132183	989040	1014636	1142524	585799	644336	683771	255959	797241	694064	615057	713266	795639	420653	798259	875931	735136	731037	787053	676721	702660	987710	747347	640925	717595	645543	852296	887780
"docosapentaenoate (n3 DPA; 22:5n3)"	NA	273399	447379	NA	208741	430213	176397	237318	546300	NA	432090	200650	378713	433115	474082	541669	419406	539849	NA	857322	341605	337766	342687	NA	362718	499577	500039	376773	346124	673896	NA	328379	NA	NA	340171	765456	NA	NA	582311	228574	196005	494174	NA	456925	NA	NA	309453	865444	223296	319898	221637	449151	385126	648649
"eicosapentaenoate (EPA; 20:5n3)"	702575	884209	1359431	1339005	852690	923398	981808	936446	1054641	1068507	881142	767843	1063095	1521964	1073728	845295	1045048	816754	1277419	1527861	1420681	1068606	1260861	1116108	1512285	1678881	1695491	1611454	1038879	1297719	745819	821217	814484	303236	736660	743863	679847	989386	841278	489153	724258	823578	955214	1123006	965197	843608	883691	1136594	927515	775007	817181	767713	1010750	682805
"ergothioneine"	17327	55847	70435	18684	22606	NA	NA	77933	46732	20378	34044	27047	162439	430870	168805	325250	134695	369144	75859	80671	53571	69869	48082	43964	84107	46018	91256	NA	77403	104536	261419	607975	1136457	65207	480131	537500	431121	665033	329018	244555	466561	631479	70407	81225	85666	151869	74041	78913	688385	399846	1248232	1088374	807706	2070346
"erythritol"	458568	376166	355945	364081	406899	348005	419618	292816	360761	364927	399727	384233	564123	673030	569983	547735	458399	483611	484840	703481	480583	409731	523633	523847	521022	541626	432034	453009	451155	534703	709112	777427	940390	232196	782401	929894	682065	669275	923426	434087	912085	902577	622915	560286	626968	623986	632546	682742	841099	802581	931929	940743	1386153	1217298
"erythronate*"	112735928	86535304	85036768	105530000	84399552	84842344	102886088	84074904	96864080	100943552	96526976	97052288	128342096	116548896	120067696	143976800	113821392	116332712	128209032	153540992	119857064	107471184	116515032	121829664	139846800	151916064	145681472	134644720	144475408	138509584	171391728	167361456	177983184	38711668	162609968	192803936	123484464	128132032	182591968	81408768	179839968	179785904	147716432	120502424	127170056	131629584	130218160	120900104	192457520	176658192	213086192	264206096	264518512	228986192
"ethylmalonate"	NA	NA	NA	NA	NA	NA	207034	NA	288395	NA	NA	NA	628779	609136	423731	526430	513574	568869	285698	345806	411201	NA	257007	294316	313646	384968	302550	356975	274031	312105	1171485	895443	1088831	230620	802627	1046661	854744	645462	933055	434427	893495	929500	406296	317201	291333	441436	NA	347922	988430	955067	1377624	1759157	2759030	1713620
"flavin adenine dinucleotide (FAD)"	64792	72058	51758	68377	54709	58528	70919	63264	54445	65868	57023	62444	119006	121056	106220	120672	105109	108538	98606	106774	102485	74175	81101	84171	92036	97840	87433	85923	102552	84303	166848	173415	162298	29050	177737	184770	126815	117226	172961	93770	165957	153877	114962	104491	118092	111818	110323	102459	189708	175825	218889	249185	291906	230448
"fructose"	9910165	2999496	7625561	8890857	7202861	7072538	7282873	2121141	6532587	6500141	9750078	6768769	10223825	8569128	12896399	13711841	4582621	3855646	11225990	12714799	6836680	5858170	7610449	6956940	10696497	11052081	10125498	8962034	10156076	8810884	16387988	15558754	22884096	6031020	23315736	28034698	17898368	16433381	17352024	7899059	26891968	25712496	17427444	14101600	18443784	16913584	18301040	15742501	20323240	16435169	22035630	25980612	29299956	23253580
"fumarate"	7787531	5083886	5860824	6980429	5548386	5594590	7044612	4475550	6260360	6703609	5988608	5347137	10740692	11634122	11710558	12459848	10216898	10247252	8263047	11408284	8340730	7809099	8595857	8636861	8353721	8757824	8330724	8095816	9639307	9159249	20169208	21368120	20097644	5109485	19675184	21716894	14960268	15989540	15271331	9926685	20801672	20727310	12195456	10705501	9059730	10374113	10019025	9703388	21966884	21454968	22527320	28138428	33532344	26825068
"galactonate"	700491	NA	347625	574775	NA	NA	668973	289018	NA	477256	NA	NA	664581	527569	420157	704040	306744	609497	670841	NA	NA	NA	781481	533728	432587	NA	NA	547263	NA	NA	1052524	1122906	869107	NA	1110031	1142441	534137	425419	934417	NA	404285	532846	624159	386081	NA	354760	379709	NA	1696662	932713	1337122	2223459	2244324	1475578
"gamma-aminobutyrate (GABA)"	26583936	44272928	46144352	28008806	31304590	35179096	47564612	46597720	38780440	37762088	29199678	15763280	78735248	84243184	46433016	82245760	58471408	86052048	68004168	51031504	54729212	48032472	34777816	45187896	72796032	30080454	66561984	47417792	56612076	71054096	65821412	61217136	99383240	28729802	51519716	92904256	67778664	97017808	54156048	57601172	56715524	74124464	72146200	62119812	49170448	66058956	51389892	60457436	104738912	49102960	104836816	73676104	57919112	110576800
"gamma-carboxyglutamate"	82579	193030	193506	88445	124761	118897	NA	197079	166914	95220	96455	103254	293873	370677	142200	350577	235854	363100	217673	171164	199309	159928	124632	139878	312108	118794	225247	112238	188346	291592	202752	177403	419319	22942	200664	242890	253377	335909	181406	137215	233823	296611	271324	218339	221830	294959	164144	139469	321616	148897	499663	267988	230008	490920
"gamma-glutamyl-epsilon-lysine"	59158	122815	114418	68087	72265	92265	134067	132855	121620	73093	79316	78238	164440	203734	105573	203973	116703	200574	134079	129258	95468	97017	91209	110111	213877	98965	184783	91205	158234	271161	127118	128209	295603	NA	120548	175149	177079	214225	140878	68057	130968	134396	409731	335195	163763	320689	259065	236177	306746	124758	347579	195492	272320	349574
"gamma-glutamylcysteine"	42544	132037	119496	40307	82741	58966	107486	74781	64966	71387	68036	66006	143377	127006	NA	140499	70829	138457	172324	85856	55604	65642	27965	70526	222027	98362	129671	45694	123437	170369	110050	44219	201765	NA	NA	158782	93555	138449	96884	NA	115295	133181	163720	45282	68626	127052	108528	NA	208031	NA	300604	154385	208736	231451
"gamma-glutamylglutamate"	161546	318975	328564	152065	239854	240293	306523	371812	294785	174860	256069	193373	438483	506056	199248	541259	418349	510590	387014	249453	339537	273060	228864	258549	647699	305897	428571	245543	349941	537181	355061	375882	954879	70658	412458	454721	436878	595369	366115	211697	616006	537956	819546	784138	494618	744920	483472	389343	764030	366307	1523618	720681	868903	1286500
"gamma-glutamylglutamine"	15266	23219	48939	22175	32291	28907	45941	27480	NA	12328	143600	46000	40475	43265	56759	85805	32736	69306	42913	40339	34095	NA	16504	27538	82140	25882	53713	18241	30720	50741	44455	43876	185093	NA	118678	79261	66260	58200	62302	27880	99523	80047	149727	NA	83877	114513	122824	61615	90933	25257	227656	117932	227221	297145
"gamma-glutamylisoleucine*"	NA	172196	157782	74985	104788	95932	191835	203158	195256	118841	122436	112973	111102	293025	88785	238917	126775	264182	193872	129837	106835	88351	95147	106179	289913	125482	169397	130950	193537	288452	136343	158564	288174	35356	177164	NA	170111	251230	139227	69195	149233	161171	341186	201807	115186	252858	194849	117976	325728	131348	492763	201091	298356	434899
"gamma-glutamylleucine"	NA	33753	47252	42026	38166	NA	58575	88289	68611	NA	49967	36841	NA	98341	43415	86523	48877	82838	51554	41009	50719	55394	52762	NA	93668	44969	66516	36927	68441	114900	102473	80950	112889	NA	72759	NA	70545	78168	80318	17368	81625	73982	118906	77302	57377	78556	NA	NA	128134	102439	197958	140856	173470	194451
"gamma-glutamylthreonine*"	73813	165891	104137	77392	110896	124564	175757	205577	157070	88867	93941	102557	163833	175600	63811	173146	157672	175124	111653	97951	123387	103771	75968	97189	218006	123031	168075	103564	109673	179645	98480	99043	248994	NA	114341	127784	132840	179205	132910	66477	173035	202717	185136	130066	164705	173320	115323	90696	220006	124108	396816	151915	231606	291065
"gamma-glutamylvaline"	NA	115714	104848	42356	NA	53898	104058	173457	108490	86903	102382	49106	143071	195560	115929	163550	86675	192126	126705	NA	122396	59241	85549	89478	163467	NA	119549	98016	139494	199861	117476	121849	233322	26375	112723	144668	142619	172146	96758	58300	87728	86109	206912	154919	113788	178531	99268	82134	190466	70115	326373	209697	132682	301910
"gluconate"	1961433	678067	719452	1261021	787481	NA	1218913	540870	NA	927480	413436	737762	2125948	1729729	1323216	2287129	1558381	1283817	1679014	1496739	NA	1066887	1387562	924712	1245871	950121	1155486	1448023	702409	NA	1606648	1335160	1205543	NA	1854397	1394270	1258335	502487	1290837	763132	1413338	NA	1060963	646289	NA	829544	736728	NA	1952657	1316843	1327332	2658003	1924474	1450115
"glucose"	17689128	4406807	33569200	36315084	31813128	25010276	18186016	4573167	28270242	20210640	132927384	36267792	14281420	7060326	38262384	31894576	6052147	5283379	26457348	27076200	9154283	5941857	6928778	5192460	25257168	21706840	23689608	18169736	17175432	12561850	10039971	6684930	20117518	3863506	35120984	30432460	16249476	13062534	8287229	3364364	47814984	35620896	16612069	12266995	30563236	26171480	45364896	30254678	13793776	9502922	14952396	14894769	33776580	22738482
"glucuronate"	402490	399294	204775	321083	226202	152282	327356	220863	281308	277605	373871	289553	483838	567883	470874	651189	513788	482450	321058	443003	NA	494670	448392	302142	NA	407899	352239	437397	407638	364144	881328	1109489	737094	233979	785973	873322	716226	562004	791949	507705	717205	773500	289360	274408	302119	381476	348402	238800	1122125	918855	978561	1625144	997881	1231628
"glutamate"	834544704	1009481728	904216640	779522688	772319552	792547328	1011469504	954907776	922446656	791798912	808927424	819456128	1419421184	1445676032	1197944448	1387409792	1174032640	1406177280	1117991552	1007494592	892251776	831635264	904065664	878332736	1161864704	1017828480	1073427392	855578368	967230400	1049550720	1700480896	1707019776	2013482624	410962464	1856109184	1924794368	1502617856	1597973376	1631802752	916743104	1605032320	1674265856	1350924032	1330024448	1146479360	1243986176	1083289472	1031873984	2196242944	1796461312	2521586432	2040927104	2523026688	2498668032
"glutamate, gamma-methyl ester"	2685087	4417024	2895138	2413618	2679476	2290489	3207053	3420987	3974842	2568662	3483853	3052042	9488348	11457265	10496011	12207549	7390321	16091357	4835501	4845325	NA	3530477	4495367	3945960	9381664	4640538	5809087	2836245	4102315	4242510	29596074	33831792	49963360	7696467	39742720	41404884	26266920	18177472	34682356	19936034	26518204	35359128	23311656	18422020	15828484	21468236	16364227	14061632	44072528	19261992	65530884	62281152	85840760	114997280
"glutamine"	56339784	39553244	83134312	61396120	73842752	79716704	64767872	34231696	81007048	52566928	120966072	109233528	49834816	40662824	114979928	117292960	61737400	64872032	70932792	47729024	51045584	43879352	53484116	40278140	73084616	56072572	74066856	43056976	46813700	64646236	26135608	18025406	91102320	14593372	113683720	68710384	43197352	53970308	52596480	20480666	76522048	70817504	57435244	51564320	66622540	63200312	61321420	48108028	45983584	56407528	88374616	53603156	119669824	84649056
"glutarate (pentanedioate)"	698448	553018	565235	506078	NA	484885	505891	527262	504489	541297	360021	411229	672638	627829	628403	679969	478137	565661	672457	675843	682148	535409	528481	571061	504798	604773	727300	560306	606989	713673	1862314	1311667	1590895	443978	1482500	1372858	1039249	1182673	2029324	630323	3471513	1903783	3617152	1578696	1294994	959342	1595252	1060022	1260149	989331	1153632	1118350	3223735	1193397
"glutathione, oxidized (GSSG)"	6999137	10067144	10089506	7696899	6748090	7774022	10399603	15778422	12095240	6712085	7133100	6456062	14525779	25325108	14225812	18126140	8865077	15900659	13330180	10594790	10388946	7566400	8335276	9286074	17370232	8361735	15212939	7893058	8823934	15386291	9415887	10040924	16306597	4214622	9438023	9582472	14169571	12270594	9407030	9568110	10795278	9951821	14198725	12290854	8381857	14074100	7491562	9325180	12431197	12125459	19986526	11177922	11116671	17408444
"glutathione, reduced (GSH)"	29568116	27933848	22781512	21077346	24623708	23672504	29657022	14302753	15222735	25852176	20403918	24813854	67031040	62094600	58534352	68342672	65992968	67167224	43855056	44653092	39739044	38612376	35035056	34604024	36855208	38160232	31821004	35314104	37158088	32467756	91287560	88666032	94467248	16012162	93355184	97722424	63033132	74205968	92972816	36919300	83148368	99774816	43317980	35291596	45468828	39629972	40414108	31661086	99180784	88780352	115861784	116192712	129033848	121307104
"glycerate"	715670	575822	474547	576024	650646	443979	440967	474502	578982	457243	869689	617576	954437	777307	782601	1072448	489412	688295	683391	889015	777177	538977	635498	775853	1599082	621612	816036	351735	701570	439851	2211920	2458459	3943730	377591	2623410	4511077	1498514	425165	4667200	357210	2968148	3974986	958120	689783	693561	541967	711271	513614	2683395	535507	2945521	5282173	11317106	3243810
"glycerol"	NA	340973	349186	NA	NA	154331	245012	451738	378967	NA	NA	NA	334771	410255	457376	381968	223483	417018	NA	NA	NA	NA	NA	NA	323671	294724	NA	NA	NA	278257	408091	559119	510702	NA	436403	339354	422047	392918	571502	NA	NA	354536	318152	445518	NA	425669	NA	NA	450857	460327	703703	708617	612653	626261
"glycerol 3-phosphate"	397943	503517	863808	421993	382199	653814	383311	314249	947313	306264	323264	784825	248478	933518	938865	420292	236737	801815	403287	581587	725475	318675	491358	894695	518203	783515	1660574	801749	1311616	1218676	772931	951184	1291288	96787	789630	1849728	450088	746625	1581182	287639	604891	2013557	590156	504783	1326932	406292	1066847	1080747	731710	826730	2421740	1234260	2612665	2331127
"glycerophosphoethanolamine"	4750416	3844937	3816411	4615950	3636527	3863074	3952171	3134614	3632212	3655955	3337721	3679630	8280322	8335515	8194792	8838792	8051375	8077326	4513070	5841205	4561583	4220733	4338539	4269122	3992640	4549839	4066111	3775851	4527242	4058141	11274741	10845454	11143018	2287268	11188491	13007488	7830857	7791169	11133526	5357466	12462734	12402851	4620873	3993626	4442251	4001824	4329319	4003687	13296376	11862480	17366008	21153184	23389696	19852144
