"5uM_10h"	"5uM_10h.1"	"5uM_10h.2"	"5uM_10h.3"	"5uM_10h.4"	"5uM_10h.5"	"UT_24h"	"UT_24h.1"	"UT_24h.2"	"UT_24h.3"	"UT_24h.4"	"UT_24h.5"	"Veh_24h"	"Veh_24h.1"	"Veh_24h.2"	"Veh_24h.3"	"Veh_24h.4"	"Veh_24h.5"	"5uM_24h"	"5uM_24h.1"	"5uM_24h.2"	"5uM_24h.3"	"5uM_24h.4"	"5uM_24h.5"	"10uM_24h"	"10uM_24h.1"	"10uM_24h.2"	"10uM_24h.3"	"10uM_24h.4"	"10uM_24h.5"	"UT_48h"	"UT_48h.1"	"UT_48h.2"	"UT_48h.3"	"UT_48h.4"	"UT_48h.5"	"Veh_48h"	"Veh_48h.1"	"Veh_48h.2"	"Veh_48h.3"	"Veh_48h.4"	"Veh_48h.5"	"5uM_48h"	"5uM_48h.1"	"5uM_48h.2"	"5uM_48h.3"	"5uM_48h.4"	"5uM_48h.5"	"10uM_48h"	"10uM_48h.1"	"10uM_48h.2"	"10uM_48h.3"	"10uM_48h.4"	"10uM_48h.5"	"Veh_72h"	"Veh_72h.1"	"Veh_72h.2"	"Veh_72h.3"	"Veh_72h.4"	"Veh_72h.5"
"4-imidazoleacetate"	648386	860802	798252	638563	580116	583023	748528	818756	583936	872246	602255	781598	597215	704124	885043	608296	918286	633230	826206	731177	638074	623601	626200	855423	880349	635867	857854	700529	1062257	1172381	368297	531453	688631	170692	475810	604395	598951	766070	488951	360504	488455	575732	682625	614249	477801	703300	681274	591143	632664	555202	498006	543194	644834	574973	514782	371787	611891	480953	433478	524714
"4-methyl-2-oxopentanoate"	426040	278862	333307	361522	NA	320814	821668	536600	349879	854483	466579	585428	576763	379689	588313	667465	569512	384488	650799	448443	304811	448500	NA	380046	605677	NA	288731	564097	404917	NA	1006454	945465	754085	437994	733457	651873	566456	458771	714967	651163	919024	836123	538634	428212	571811	579428	400834	420577	716178	242357	378814	475367	441287	431100	913099	878061	1192285	1113933	1201667	1192456
"5-aminovalerate"	NA	8548778	8206345	NA	10081220	5681654	13429301	13971842	11545589	17872800	15442774	15425130	12427782	10741973	15166001	9687172	17291640	NA	10990132	12262693	7823399	9804535	9580434	13912773	12717486	11645774	11347577	3559485	9238575	13624079	10631210	8304714	15887416	NA	9726391	13277192	12824878	14995822	8932342	NA	14724215	11875900	10457020	13246163	10521746	14389411	6386911	NA	8717249	9041838	NA	NA	10694742	9830746	10219600	6750036	11518210	7219520	8411258	9287473
"5-hydroxyindoleacetate"	74465	153118	144116	95570	134293	133441	NA	89870	77317	58689	NA	38618	24765	57143	66985	NA	NA	NA	81922	NA	47493	54552	107373	126957	81489	71331	NA	57313	137048	253250	85274	63045	57089	20742	NA	NA	90113	55907	70431	39922	71292	NA	149823	136578	NA	114244	189257	197657	113111	128258	59080	50528	248505	171184	132618	87241	NA	155693	173385	121377
"5-methylthioadenosine (MTA)"	5262727	9391249	8754312	4952443	5341960	5178332	14208478	17929484	7240679	15960749	10166543	20000680	4797593	10895568	17043880	9433458	20041548	7953759	9133398	9479388	6042693	6100964	6461749	7402882	14128272	6696309	9098182	6689850	9256031	10436074	12515458	13638824	31658698	3058148	14741776	20162368	15760244	20235142	10713032	6049592	14915627	11774593	13546494	11592159	7028382	13052362	8830795	6407739	9088246	8816212	4751113	4927961	10114277	6110371	15448145	11586544	35730168	19985004	21763124	31707862
"5-oxoproline"	23763340	20040062	18093288	21571768	19687200	16566351	26623710	24422692	28585646	26789714	24065598	28447244	21046408	18600776	29398298	26126446	29059724	27534966	25344406	26680454	18861680	21191376	23211160	20366384	26245482	26118506	22721444	25717370	24746640	22404308	39644584	38601760	41869352	9907783	37741932	44968540	30841338	31941708	39131932	20380498	36334080	42587160	26104460	21761154	24020668	23389528	26054860	18926644	21808658	21643400	22391400	19947382	15712919	18720768	41633120	38369728	52128128	49457972	53449612	53742280
"5-phosphoribosyl diphosphate (PRPP)"	15609	28204	NA	NA	NA	NA	52657	76785	73097	40095	89720	96719	NA	29962	61089	18714	70107	78442	26828	24019	38370	56480	31735	41425	24678	23240	NA	26613	34146	43725	216240	216747	130603	NA	136325	133242	190096	241824	206990	172255	119107	196698	89586	111332	120335	84426	74259	117582	66526	64994	60082	45113	40398	67719	146698	268677	174907	179165	180844	231564
"6-oxopiperidine-2-carboxylic acid"	NA	640711	NA	NA	NA	NA	588975	NA	NA	221276	139062	566192	305239	1341193	774546	NA	644024	NA	314213	NA	NA	NA	NA	NA	442120	NA	NA	NA	NA	609553	434213	NA	462104	114576	NA	656510	1070648	299378	558400	NA	741575	1275664	NA	823357	NA	405837	NA	608965	NA	926649	50092	NA	325660	NA	1365683	266565	945445	764959	NA	1011694
"6-phosphogluconate"	578039	312650	705115	729250	1418084	1445151	715145	764576	990779	1128160	539306	594444	669267	727341	872583	898548	962781	914271	643666	707622	549953	573074	552477	560993	609468	659906	579909	585628	662264	630256	804119	931089	1111543	334894	1238409	1304073	771371	881136	663039	428781	960474	1059511	727762	672192	641672	590145	719930	745428	538215	601717	514970	528124	518634	489265	698665	681955	1153268	1142846	1630114	1643620
"acetyl CoA"	17140	17289	NA	24890	NA	NA	NA	NA	14499	NA	NA	NA	NA	NA	NA	NA	NA	15237	NA	NA	33598	38069	16929	25652	28142	18079	30685	27023	14357	30843	NA	NA	28077	21767	11335	16885	NA	NA	14741	25426	NA	23248	30219	30040	NA	NA	16313	33917	NA	41296	35419	26006	36862	40431	NA	NA	25150	28373	16095	33667
"acetylcarnitine"	18790728	35082972	22483588	17788684	12263197	12871848	52701344	70976856	37368396	65764436	42567304	68429360	20170498	29053392	52016848	30627524	57289888	28588672	40609784	30854620	33044502	22702844	20003074	26880974	60310868	26248804	43165056	29693214	29632988	56629668	62136156	69758760	95100440	11239156	56650216	74446632	50032536	60690920	40437352	22400946	40473448	41011412	43684684	32665196	32098602	43740988	21947504	26038582	39931140	26835512	23088996	21063406	29452392	25697464	96077120	58144292	179653680	126626688	108935056	136755568
"aconitate [cis or trans]"	3066784	3273084	2810376	2907202	3847784	3559434	6449229	7005459	5812094	5796326	5271469	6405768	3130288	3454536	5314600	4699971	6074248	5920276	3697110	4255923	4232109	3789008	4333750	4392204	3640609	4001252	3217736	3075530	4032435	4333558	12771100	12217912	10406370	2534159	9353352	10412838	7592332	8694723	9609984	5304049	7886795	9086168	6476402	6092943	5550620	5428775	5253414	5515191	4608340	4357386	3857046	3505214	3416564	3177774	9409303	9369925	11882243	11369585	12982246	12114956
"adenine"	6401870	10505651	7302018	6767526	9253940	6616053	12579862	7422789	5174778	10843184	11828689	7826900	7231142	9671069	10821932	7458798	14679493	4484286	9072141	11591276	8080446	10213237	6676032	8167764	11506878	8548121	7591577	6929301	10737184	6640178	3707682	5153917	14116783	2526204	10917781	11896845	5670887	11140687	4446085	6078299	12253516	4921267	6514362	5895391	4280272	9838874	8918192	3189224	6855146	10440252	3627869	4339436	8019920	4444742	27945240	4449919	11963503	13949218	20170754	9368517
"adenosine"	2790264	3973956	3561998	3249801	2973509	2577249	11814868	12935224	4250251	8937994	10866623	13304372	4097865	4281381	9132120	3983347	16014630	6201423	5447105	4503696	6022529	6768229	5264803	5747273	11129642	5464073	8820923	5137655	6989088	10200134	11452741	10064336	27354076	1733882	11023131	9635864	9483624	9508531	11825282	3726240	10488939	8822231	12303468	8127851	9061176	10427092	10253708	7254458	8108281	9274938	4957327	6060110	9077014	5071313	18212548	5359173	25041546	21201808	26014752	25051890
"adenosine 3',5'-cyclic monophosphate (cAMP)"	75021	56947	74774	46756	NA	NA	296919	307103	107566	74591	105349	73596	67338	NA	108200	91287	115144	106382	101206	76244	79763	79933	88528	99881	61485	88272	98830	99580	107506	116990	238781	258553	152613	NA	134426	146001	167839	186316	206051	106942	168572	213236	138702	169832	119699	130370	102571	93849	NA	74717	80820	70975	NA	NA	347090	387912	188514	229649	223484	234511
"adenosine 5'-diphosphate (ADP)"	5637716	5647760	5703435	5130769	4766060	5771885	10383161	9796032	10461605	9208003	9115177	9782185	8092696	6866736	9581334	9149505	8079462	9607652	8934295	7428083	8443961	6766879	7636366	7922489	7480327	8172605	8421889	8447344	7015913	8655251	10866577	10603517	10302939	2597464	10360562	11839420	8357612	9002433	10718954	5911413	9449825	11692549	6792050	6259554	8930636	6407964	5691558	6543049	5844893	4969602	5779114	6076567	4589021	5521611	12451413	11088731	13277679	12430857	13020196	14716287
"adenosine 5'-diphosphoribose (ADP-ribose)"	68001	151505	110429	87697	114012	124176	88880	165706	190855	122139	127415	200281	59109	128633	206839	79500	159511	193435	104293	160295	155112	94924	130343	150037	92740	113484	154776	63911	158660	133727	192454	217671	264129	38796	206978	353381	150354	241392	325963	91510	200722	274327	114389	190026	209786	146094	194952	226873	72246	155553	168234	101979	195725	146140	189364	226354	399287	191226	307384	361670
"adenosine 5'-monophosphate (AMP)"	762918	1168424	1125136	773436	786630	1088659	1603587	1854811	1831721	1442707	1492911	1687804	1015648	1164634	1550496	1260953	1386365	1849080	1320297	1307313	1750952	972275	1334201	1419950	1287073	1444008	1746417	1280438	1397974	1888071	1734238	1845797	1596347	317948	1726317	1731030	1333195	1754736	1715535	899013	1517385	2001230	1066822	1193693	1680012	1118910	980626	1426962	889624	810844	1048073	1007223	1006420	1040172	1914371	1966420	2223265	1851197	2140080	2424193
"AICA ribonucleotide"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	82600	NA	212374	71465	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	143559	124657	412045	52518	136797	213499	453900	413034	229515	124510	292497	358542	349169	235867	139036	236634	129736	101692	143073	92020	32031	41381	102870	63115	288258	160310	232058	231960	247546	523424
"alanine"	4301699	10758544	8763310	4400153	8184270	7732976	12044124	13061963	9943197	13791787	16944588	15917022	7493127	8173465	13927603	6775894	14270580	8692950	9288814	NA	7401146	9015616	7267886	7499800	9473983	7166703	8716279	5456135	7402552	10159706	10922395	11630022	19822316	3828523	12053592	17225168	13282773	14319027	12381628	11967712	17936092	14424741	11739389	9913802	11522983	10684170	10369820	9945454	9763959	9402221	5377093	6731212	9932269	8754485	23321496	13120353	30508384	26424042	26120962	30239888
"alanylleucine"	NA	262099	NA	396322	281223	34976	116953	41895	NA	469257	260681	3081665	NA	NA	45995	NA	125060	123023	49912	NA	57572	61078	236194	1300959	49305	196701	913893	104694	823546	NA	42442	293191	935018	NA	88908	NA	132494	357930	81688	86658	NA	NA	1978339	50453	1381626	266490	757559	NA	327423	680030	175824	345751	467799	175390	80038	170307	NA	85609	1602535	239955
"allantoin"	1446687	1032048	991202	1293584	1008051	1073175	2223642	1754333	1730443	2053401	1644257	1657797	1458528	1404413	1758349	2063859	2202467	1764028	1590906	2115684	1412763	1353182	1438629	1250428	1447592	1511899	1376572	1463321	1433022	1311149	2682579	2559248	2791983	633416	2723342	2959946	2091221	2069104	2658427	1286374	3109717	2823466	2140337	1578967	1738387	1876451	1718231	1419087	1664752	1161224	1196730	1332064	981789	939420	3672692	2877414	3039831	4351021	3908939	3184611
"alpha-ketoglutarate"	24655580	25234158	17796438	21292542	19652930	20007572	46240928	45740664	32985662	39399628	35359912	42072880	21338520	22423968	35487924	37358168	46373920	44549036	27749820	34595480	27993652	25585956	30162352	30096976	25122084	28995792	23223984	24376492	29024032	27646148	111802832	111667192	79854544	15876432	70694560	91151928	61384320	63679108	97116344	44101804	84125584	95701008	71919152	57594508	49345496	46779508	46999456	46977452	41377180	38220752	29961236	27652572	25335036	24365964	116218272	107469648	135175040	167803904	173186720	154585472
"arabitol/xylitol"	194435	114306	150209	226401	214834	NA	217103	250300	NA	270392	167594	252512	145047	NA	259750	275649	262647	260505	213898	218579	211000	302588	179472	250384	198683	244270	209793	212670	236539	NA	305496	351459	358918	52224	295109	394341	226637	221347	318312	227294	265156	424521	262519	268540	274658	228505	266778	278456	195512	231540	288719	166057	208759	196978	348897	360312	423055	544940	626979	NA
"arabonate/xylonate"	488059	260305	NA	NA	NA	210656	383029	NA	NA	795173	195507	NA	78578	NA	NA	477830	497978	673796	256264	715051	NA	161074	NA	NA	593143	302890	NA	NA	973623	341169	NA	364701	773710	NA	354758	278620	533050	NA	522819	NA	557374	609707	450329	257030	NA	348197	458380	NA	748375	159525	NA	451556	NA	339291	1116103	NA	435593	364061	368370	439387
"arachidonate (20:4n6)"	1735188	3244961	2873211	2634841	2321642	3497709	4823462	6098769	5066317	3613052	4039076	2406494	4775216	2648940	5315106	4300161	5409100	6911451	3804660	4800250	4992155	3748138	3657535	4540477	3602253	4468890	5368983	3031209	5427168	5672526	1612176	2670279	2389544	680598	2680545	2786292	2357040	3136362	2885342	1355352	2678384	3605233	1564588	2601589	2800181	2435757	2939111	4415306	2054756	2264812	3170113	2302213	2923383	3503255	2850177	2322451	2632953	2124875	2675855	2447033
"arginine"	76501104	61967592	87453320	64343524	67191304	63564528	92736928	99393056	118499904	125375136	62178024	97776480	50625432	67968304	112197144	62730460	129302144	98578072	101402200	81885072	61611144	44239328	56726984	55131284	115363712	92241504	93053104	73224104	69359912	92324200	134616896	131879128	170695440	26269130	186572096	180489840	99068648	108084048	111042888	46191684	137609600	140115744	82413040	75479728	62420976	80357232	73431904	65030960	71871792	59119520	65766976	51834864	55619648	57710384	177624864	150648752	245037296	192456720	237210368	222997008
"argininosuccinate"	141638	212091	203094	160627	117571	110202	465887	574015	313810	682578	332166	581850	133289	289096	571584	391559	650164	308562	266419	214923	178744	159635	183571	186663	497547	186487	259173	234672	226912	393334	513593	533246	1162878	158212	598419	749441	539490	658025	372943	267198	534303	523410	422605	269183	175284	332407	186668	198085	282103	211515	98828	109686	228890	163793	889274	391846	1573850	986449	927505	1704842
"asparagine"	23288018	33079868	37774348	22231920	29656676	30698160	40168772	41536184	33044188	52177784	38772424	48642428	25301294	31090792	46571332	32187928	48090832	31057660	36954304	26267668	31971088	26246322	23626864	28391300	37076900	22023356	39252376	31320748	30202564	41397760	36027164	36820824	62096692	18459928	46390440	66127812	42780068	46506216	39220272	29183470	52306892	56667400	43750368	38512936	41366044	42709776	36572072	38151224	43007176	35267092	25895068	32525592	35451972	33201060	67170872	42099348	88421800	73170712	61610264	98327808
"aspartate"	28064566	50019284	37726008	22364260	28999268	28108468	71437120	73922968	38679984	68034272	59513948	67382520	41974728	50384852	61269656	47321540	64017752	34984524	45744120	35808412	36363712	35675632	23238642	28121496	41279348	24167440	40717636	34511016	28343672	35330080	33953176	34068456	67091032	15086570	42816468	58767468	50714516	52961332	39047808	29017036	49679440	46594688	38405604	33628592	31727692	35775304	29148732	23664628	30017408	29820774	16970044	25653370	25304928	21856768	64773948	34710904	64256720	57427824	45226516	55508088
"behenoyl sphingomyelin (d18:1/22:0)*"	918015	535241	613143	1268067	882622	1121421	636208	886327	654405	1155439	501556	620853	476708	695254	1106940	1500711	825758	951592	659738	735324	623079	973905	701955	793782	404913	962192	387173	572925	1193731	1401085	1039293	1703354	660051	244032	1058938	1369506	949074	1089960	919563	844950	629386	1674820	792221	1039900	454206	835397	532328	1112240	455155	859924	402480	496454	454087	433447	1059768	1015638	1060310	1674464	1521565	1491702
"benzoate"	8403172	13178701	7890888	14583845	20983010	7432036	7313250	11670378	9027138	11294696	12663327	9810423	7834707	14670199	11447306	7860678	21992958	10695136	7139213	12881422	10441419	7218647	13150218	14076079	8973391	12887402	10803896	7596934	21694552	8745510	9324877	17631256	13827067	1319090	15166755	12997031	7864471	12585854	11194802	4464554	14652939	12418863	7345933	11926959	9946338	6145504	11057618	11694413	17094882	12965611	8987214	6103573	11257358	8605203	8790710	28203732	15278228	18407592	25871146	14140036
"beta-guanidinopropanoate"	822617	901240	969643	838260	629267	694875	1320658	1532840	1436482	1366800	853025	1534923	528030	796646	1483591	980361	1653296	1438616	1139475	1066130	718732	895162	1059087	875911	1247516	1079479	1077759	720665	1120007	1314576	1852404	1810423	2182279	293136	2107376	2012371	1360081	1788753	2091800	853835	1534365	NA	1019777	1057014	942739	1164202	1043720	751823	682756	851811	726071	444921	900891	576479	2414450	1827876	3229219	2883097	3472396	3015864
"betaine"	13925570	15895973	17970600	11433739	14544196	15656497	21406788	20341820	8820340	21960506	19436472	23457160	13398362	14063832	20998040	18682190	22611066	17706524	19143776	NA	16034166	15658196	15130022	13940016	21584170	14970973	19814182	15110122	NA	18018644	27044706	23307908	40384368	7202240	24782412	30061396	24178256	25323888	24632342	16569979	30568508	26377528	26185718	23898832	19316450	24426480	23478464	19980432	22882884	20902632	12864885	16239889	19492104	16114174	38274136	21170896	52687644	47208968	37576720	48208440
"biotin"	429941	570096	722438	367008	344818	394236	891876	1354326	690774	1343668	591242	1339760	341906	691091	1398846	517382	1312832	768012	1091027	822071	567750	817736	574613	554359	1546298	911340	1164716	749666	853230	1429718	937869	1170912	2176649	208705	1258181	1331370	1165898	1844988	946772	494481	970865	921735	1175937	924787	826612	1342921	788330	713498	1008536	756189	522148	485524	778880	567295	1136791	706867	1859929	1140717	1073414	1726107
"butyrylcarnitine"	2492614	2693651	2620267	2242823	2436628	2284392	3748786	4232905	4094355	4051466	3171773	4419962	997595	2094568	4260260	3187019	4979779	4864089	3230801	2821622	2689497	2106452	2846616	2994104	4053006	3555205	3476030	2831501	2901044	3711699	8290667	8301718	8255777	1143541	9410236	9684801	5024957	5610883	6766846	2954037	7024164	8042415	3468623	3654766	3159868	2962626	3170010	2393142	3112520	2743226	2410737	1900121	2058456	2387593	10685522	9827304	14705174	13641646	17684476	15756773
"C-glycosyltryptophan"	35095	82926	105798	51572	69133	59044	121826	178033	114137	230206	83167	215945	34731	55435	211005	77636	226104	102138	111385	93927	75899	59746	90214	101145	175499	78422	130835	76013	99800	168585	140003	141669	320930	19758	176788	189935	132082	193839	142581	67031	141573	153127	149739	124760	119400	211922	104188	89765	112903	93771	62476	53686	119578	79974	179575	111256	481683	335107	296880	462788
"cadaverine"	269479	217561	159959	217732	217734	148699	63255	99368	61384	75466	118438	78135	NA	60910	NA	54700	73481	55764	63124	94736	71022	NA	73356	NA	NA	58189	53350	NA	67111	NA	NA	NA	35897	NA	NA	57014	NA	NA	NA	NA	65807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"carboxyethyl-GABA"	334462	819378	701179	431764	538022	533727	834072	963938	436266	655595	572833	790572	443844	486766	896033	483480	913307	348479	663418	642940	462802	385791	389162	521763	868174	436367	624121	460275	589147	815326	543688	476406	749276	58643	307454	616497	480211	618690	403632	199402	388008	486337	734409	560726	459029	635229	468916	434188	599393	530875	372872	382242	433731	484013	570678	264880	633736	414505	473990	685495
"carnitine"	50133892	59751344	68526576	45732252	41476524	40277572	123220584	133398136	95754360	139107808	76559152	136681520	59396064	78904560	135228752	82216440	153473312	100899520	94285792	73723552	62670336	55751660	42071192	68296720	96605336	63126480	80894312	54028156	67889328	86970512	111136824	173836016	219047680	26070038	190803792	178769792	133971568	158518384	173870448	70218384	130562840	136480768	111948896	103663424	67874200	105545192	85290728	66373624	92521920	78118280	48297600	44973648	66966240	63374548	191234400	143601120	248200736	189033856	260141552	255219008
"carnosine"	100051	166057	188851	98501	140034	147805	267997	392170	155383	383987	164471	367348	92357	212407	384613	219347	432462	206797	237144	198487	131609	133638	122164	156523	310663	125547	105439	102033	215841	317075	254085	274764	552004	61225	307552	282862	258496	322838	260700	110750	251124	281053	397896	116303	175176	366225	274504	114712	278920	251967	145038	114106	245515	185713	457520	199577	722398	371153	510730	659782
"cholesterol"	2482475	2344222	4025683	3319946	3073278	4091167	1404341	1966548	2363313	2807335	2138948	2166381	1439666	3713448	27551216	3405826	2152864	2884472	2313159	2619197	2659930	2689010	2755012	3385222	2168579	5637516	2119733	2371640	3567402	4241346	2604169	4851091	2397829	706231	2939827	3899564	2821080	2891890	3975239	1853046	2179842	5721189	2985755	3558453	3060700	3761899	2375702	4562565	2291326	3641896	2707881	1936029	2066105	2400933	3211470	4318288	3415308	3712380	4902964	6429637
"choline"	14096790	16826436	21537144	13769636	13985439	11621192	40635488	44183532	29073012	35616056	34546192	44752464	20026268	25889924	46235288	25734966	48275976	38464988	28906028	20140628	20031254	13097386	17267960	21005258	24901562	20708724	27424944	15121579	20877980	23143272	34391564	44656112	51703688	9127010	47127896	32237094	44120056	42716180	61432132	25641232	38235148	42685764	42941724	42211076	35023772	43521368	32492244	27365610	32158154	31051160	23835634	16969024	30672792	25748616	77291128	55073104	52261176	42178308	68512176	66881608
"choline phosphate"	1166419072	1265307520	1205065472	1179322880	1096046080	1128067712	1792741760	1829042944	1750663168	1890162304	1628348160	1794061824	1350795392	1430533888	1873192064	1672001664	1917077120	1872876160	1693368832	1671396352	1585611520	1529209600	1491563776	1493004288	1645986304	1636905856	1609921536	1408175104	1595303808	1588458368	2048262144	2149345024	2165262848	758420864	2109341312	2227667968	1854290176	1955370496	2192522240	1355858816	1930990336	2132524672	1667426560	1739561600	1681859328	1705560448	1598822528	1514293888	1488660864	1435518720	1454988672	1326968192	1283548032	1309618048	2111882368	1941793536	2334991872	2233821952	2407992320	2277495040
"citrate"	27587510	29787202	25481678	26819140	34224024	31850576	51118324	56551180	50278576	51047588	49144368	54498444	32450836	34767000	46732256	42844512	51473256	51602564	35059288	40208704	38351264	34917612	38026916	37739968	34865616	38949428	31979802	31525716	36623404	38043016	81455720	80426240	76073816	22970146	69986800	74678256	57832148	65122996	70544960	42913032	61443476	68594584	50658288	47328156	45618200	44171976	43572392	43300708	38914760	36936672	33268784	31929524	31059376	28714026	68838360	64702388	79214272	77722872	87898752	84627112
"coenzyme A"	111891	127331	122857	102658	104127	138870	282097	254541	275493	313178	334169	344058	178815	198972	324133	252146	307440	330538	228057	234760	230765	202700	162512	184797	157335	222640	169266	181164	225659	183251	456148	444297	553365	50921	508542	569932	290138	326869	496539	159828	451746	536284	211859	162797	254240	208020	205239	166920	164267	149531	163282	129458	121725	106388	518949	464639	700780	663141	755696	782903
"creatine"	184007488	219078592	213480560	178558848	161979504	174945856	285635520	317158080	269773088	316486816	237808016	338081248	147581504	226194448	320039648	249635008	345835136	284625760	262964640	254179312	NA	169059888	184595232	217567888	273952768	196426080	256016544	183800720	231821472	268292544	259853264	377937952	401948576	108735720	371525152	342110336	298218656	328821536	310442432	203294832	294273472	304534912	260041264	259712704	233697872	279982208	246950576	205515904	209292768	197379696	162650096	136504016	199698480	183832928	397428704	324590336	488186272	355216960	467489632	447817664
"creatine phosphate"	537668	424991	480669	617047	567145	522824	806337	923699	966078	945614	882501	873576	511989	585377	911387	1004512	1055179	1017574	710326	818293	740147	793363	853338	775377	707315	712258	561157	657479	819370	802789	1428470	1412174	1393098	410321	1311644	1565010	924874	893927	1323257	766558	1183779	1351761	743480	697187	759106	714529	693758	790704	472846	429875	455743	349437	427196	323808	1346267	1336776	1752920	2024699	1958753	1970598
"creatinine"	7204777	11425023	13289257	9016747	8861750	10602944	19196872	20118276	13525962	21271636	12238146	20174932	8831762	13828189	21798780	12957873	22789744	15181163	16212495	13832080	15514184	14837721	10446985	13517147	16495236	9165333	15856994	11227403	13692701	17258504	12153111	19090940	27290044	7396167	16460356	24039520	18128976	22438944	13907900	15177892	15253283	17020618	18407282	16817936	13450478	18096748	14871732	16441157	14165449	13019187	9318646	9607578	11964402	11129756	26767530	13782068	35589264	29031226	24124048	36839168
"cysteine"	374923	675505	666434	402371	442784	511551	592631	585459	483001	720771	363346	668008	361279	480730	876950	486021	943199	577646	691206	420795	400601	359579	457374	467490	627908	361224	554024	289452	528593	772804	912176	689527	1118081	215762	1033911	1217431	608880	657007	874260	435084	967416	1095972	638936	674144	452538	625436	686334	579922	366474	420795	504352	330271	394792	418546	1290482	621305	1501502	1023593	1104996	1228397
"cysteinylglycine"	967502	1136294	653427	474969	664350	1055096	2603979	2731321	2944888	2930015	2519716	3657794	1372221	1669384	3265911	2337724	3643430	3610981	1695313	1924839	2033512	1288093	1561015	1767093	1235447	1389785	1307670	906815	1669096	1590283	4096049	4846018	5068843	483397	4648262	6059881	2806980	3413088	4841599	1573829	4153663	4774740	1686918	1442345	2136385	1539638	1909464	1433279	563997	1135011	678954	714358	411665	NA	4671111	3939726	7391476	5591040	7122719	6690101
"cytidine"	NA	NA	NA	NA	NA	NA	29844	26944	NA	NA	22716	11639	NA	NA	NA	14934	35039	28712	NA	16261	20734	NA	NA	15694	19772	20740	27974	18916	23040	20927	29539	30493	20985	NA	27832	22926	18497	NA	20195	NA	40751	29766	23799	NA	18859	NA	33499	20345	22818	22884	22616	23470	15629	17372	55086	30354	29634	41276	54256	39227
"cytidine 5'-diphosphocholine"	NA	NA	NA	12036	NA	NA	NA	NA	25686	NA	34454	NA	NA	18343	NA	NA	NA	30618	NA	28416	23595	NA	NA	NA	56856	28504	50736	26808	34335	42739	32199	NA	68204	NA	51172	55100	36911	85275	24577	NA	58143	50717	58457	NA	56002	57729	35297	19807	60947	51309	24739	29881	42124	NA	52907	NA	93705	47991	40426	68540
"cytidine 5'-monophosphate (5'-CMP)"	474393	776843	646084	382377	415571	445407	1014944	1686022	622857	1475056	710046	1812634	561317	792357	1384726	533036	1561373	736271	916844	635115	700931	463361	549970	573710	1204277	535252	932346	514463	667464	998123	889555	1076937	2155179	236533	1055359	1182137	1090101	1897238	1116428	531856	1181328	1282460	1608376	971061	832148	1395771	698001	713631	1336489	768129	565883	536747	881751	668244	1601566	1025961	2954101	1303884	1454450	2921426
"cytidine 5'-monophospho-N-acetylneuraminic acid"	87441	186747	187055	55249	120950	167594	115491	391108	362492	113583	100763	396218	60200	60682	433071	29484	182430	394270	64495	122456	321405	54454	133872	299864	94862	165344	317785	116015	343254	299673	233477	395072	628029	NA	330968	806466	140686	266908	659051	52999	198786	764614	143079	136946	364713	106981	304105	339307	80397	139400	302942	66854	239920	195925	209457	276795	885320	287952	933251	933726
"cytidine diphosphate"	309458	280092	288455	305722	251984	270098	599681	630383	548715	563465	489138	570860	384152	331722	512325	413985	624309	608290	400672	298806	362985	332031	325550	318342	270125	316380	288792	286192	243827	364241	943586	876648	885926	262204	792587	971146	732467	772964	947877	581223	742137	892406	465653	439753	564601	498750	336927	422289	382978	285683	336136	348485	263003	290413	961336	908946	1048135	1150616	1046671	1121320
"cytidine triphosphate"	975167	909319	645904	855344	742315	627358	1145856	1239424	963107	1198598	1239432	1182880	880299	930898	1136631	1175006	1262531	1119157	829604	922861	707717	1321630	741163	699972	805123	816066	664537	738025	780733	733808	1766990	1859252	1731264	902827	1619240	1800963	1445806	1478123	1833398	1462648	1509586	1774087	1141283	1045986	1015971	1108006	1060548	909168	884068	1212269	727299	793059	731409	620153	1779221	1872318	2110566	2311445	2094626	2387793
"deoxycarnitine"	4627075	8399541	7735190	4861555	5628944	5810160	11681047	12826313	7762747	13071218	9195900	13340909	5431357	7539225	12408827	8064408	13638241	7423650	9959159	8520814	7885168	5824419	6171265	6302332	10507813	4723683	8702657	6158752	7654904	10225812	12763953	11984699	19947356	2968016	10291140	17156444	12150398	13533654	10898276	6641506	11549869	14231366	11006440	10328523	8280837	10711588	9630670	8821772	9605384	8455131	5406645	5628547	7252772	7089840	20642206	9597701	28693662	17844050	17279006	26848944
"dihydroxyacetone phosphate (DHAP)"	213988	245857	257189	150632	NA	138443	504814	656352	430993	673530	402113	520131	70431	233567	443540	348809	571895	273588	349687	181179	259124	333519	284410	332686	573165	423691	412484	300191	554761	667713	1373406	1174681	993095	NA	798754	690674	527794	651630	529021	270872	685006	868609	500861	533909	407588	426596	319183	415179	516899	711140	306133	278026	526501	368809	1199026	770934	2170810	1450985	1391872	1751216
